weight	trump	conservative
0.717151	0	3
4.76091	1	4
0.485725	1	3
0.330728	1	3
3.43512	1	3
2.07928	0	2
1.34385	1	3
0.906981	1	2
0.416537	1	4
0.413999	1	3
1.02583	1	3
0.504847	0	3
0.750965	1	3
0.40188	1	2
0.456414	1	3
0.439931	1	2
0.792187	1	3
0.541394	1	2
0.46492	1	4
1.36212	1	3
1.19583	1	2
0.658745	1	3
0.316033	1	2
0.6976	1	3
0.362972	1	3
0.381212	0	2
0.665461	1	2
0.303083	1	3
0.825089	0	3
0.952058	1	4
1.99369	1	2
0.559103	1	3
1.341	1	4
0.439694	1	2
0.665461	1	3
0.797245	1	1
1.84311	1	3
0.713015	1	2
0.490469	1	3
0.646724	1	4
4.1807	1	3
0.894078	1	4
1.22098	1	3
0.980662	1	3
0.14218	1	2
0.368135	1	3
0.833195	1	4
0.722709	1	4
1.48945	1	2
0.651756	1	2
1.01759	1	4
0.292698	1	3
0.494973	1	3
1.85355	1	3
0.493655	1	2
0.796604	1	3
1.06985	1	4
0.279918	1	3
0.297921	1	3
0.402206	1	2
0.499055	1	2
0.252192	0	3
0.900363	1	3
0.453505	1	3
0.871063	1	4
0.651505	1	3
0.871063	1	4
1.20164	0	3
1.02143	1	2
2.39141	1	3
0.737339	1	4
0.633591	1	2
0.499497	1	3
1.03145	1	2
0.755366	0	2
0.313746	1	4
1.43573	0	2
0.574442	1	3
2.68996	1	3
0.308599	0	2
1.42778	1	2
1.92406	1	2
3.37281	1	2
0.490469	0	2
0.801831	1	3
0.91248	1	3
0.374215	1	3
1.01102	0	2
0.476338	1	3
0.354512	1	3
0.666187	1	4
1.28921	1	2
0.499055	1	2
0.386563	1	4
1.22098	1	3
0.687301	1	3
0.433234	1	3
0.746483	0	2
0.179506	1	3
0.852321	1	3
0.363877	1	3
0.279918	1	2
0.31428	1	3
0.312258	1	4
0.519601	1	4
1.44214	1	3
1.13713	1	3
0.503311	1	3
3.75312	1	2
0.519601	1	2
0.747813	1	2
0.444449	1	3
0.635056	1	2
0.61582	1	3
0.394534	1	2
1.4067	1	4
0.356962	1	3
0.356962	1	2
0.43863	1	3
1.44863	1	2
0.94919	1	3
0.982225	1	3
1.1272	1	3
0.823555	1	3
1.01724	0	2
1.08622	1	3
0.329677	1	4
0.589326	1	4
0.374788	1	2
2.00752	1	3
0.506781	1	3
0.718898	0	3
1.341	1	3
0.400818	0	3
0.295778	1	3
0.651319	1	3
0.316033	1	3
0.731194	1	3
0.3975	1	3
0.99425	1	3
0.806886	1	4
0.354512	1	3
0.413622	1	2
1.19036	1	3
1.48464	1	3
0.194258	1	2
0.346019	1	3
1.17226	1	2
1.31616	1	3
0.957497	1	2
0.694707	1	3
0.516109	0	2
0.358882	1	2
0.349566	1	3
0.342017	1	4
0.531827	1	3
0.427362	1	4
3.75024	1	2
1.35128	1	2
0.433234	1	3
1.45962	1	3
0.41532	1	3
6.9572	1	3
2.40363	1	3
1.28273	1	3
0.576494	1	3
0.616597	1	3
0.483143	1	3
0.53232	1	2
0.456517	1	2
0.475591	1	3
0.750238	1	3
1.22098	1	4
0.269987	1	3
1.50178	1	3
0.531277	1	3
2.63231	1	4
0.509049	1	4
0.742876	1	3
1.341	1	3
2.02464	1	2
0.871063	1	4
0.481673	1	3
0.509049	1	4
0.83092	1	2
0.788035	1	3
3.11317	1	3
0.433234	1	2
0.499055	1	3
0.569401	1	3
0.540414	1	3
0.343306	1	4
3.75312	1	2
1.83536	1	3
2.39934	1	4
0.622599	1	3
0.528412	1	3
0.638275	1	2
0.520352	1	3
0.869755	1	2
2.0671	1	3
0.443541	1	4
1.17325	1	3
1.58164	1	2
0.498894	1	1
0.765546	1	3
2.86535	1	2
0.448435	1	3
0.46492	1	3
0.77786	1	3
0.79332	1	3
0.778479	1	2
0.40188	1	3
2.25453	1	2
0.475867	1	2
0.351936	1	2
0.433234	1	2
0.280931	1	3
2.25453	1	3
1.32031	1	2
0.791694	1	2
2.49906	1	2
2.19209	1	4
0.40188	1	2
0.737339	1	2
0.816865	0	2
0.485695	1	3
1.74895	1	4
0.138929	0	3
0.545532	1	2
0.543238	1	3
0.718898	1	3
0.484145	0	1
0.134555	1	2
2.13582	1	3
1.13751	1	3
0.233568	0	2
0.665461	1	4
0.573814	0	2
0.359073	1	1
0.662553	1	3
0.588372	1	4
0.761966	0	2
2.3564	1	3
2.93397	1	1
1.17278	1	2
0.413999	1	3
0.805303	1	3
0.638275	1	3
1.27619	0	2
0.577751	1	3
1.31676	1	4
3.15676	1	3
0.322583	1	2
0.519601	1	3
2.59715	1	2
2.24984	1	2
1.1012	1	2
0.78065	1	3
0.633591	1	2
1.61367	1	2
0.512853	1	3
1.22098	1	4
0.433234	1	3
0.328687	1	3
0.086293	1	3
0.363877	1	3
0.540445	0	2
0.995579	1	3
1.3856	1	4
2.71809	1	2
1.0186	1	2
0.762022	1	4
1.48945	1	2
0.419786	1	4
5.61322	1	4
0.303083	1	4
0.819217	1	3
0.559058	1	3
3.23085	1	4
0.303083	1	3
0.757658	1	1
0.296077	1	2
2.10721	1	4
1.2463	1	2
0.928143	0	2
0.314887	1	3
0.878428	1	2
0.6976	1	4
1.59825	1	4
0.599915	1	2
0.573814	1	3
0.309365	1	3
1.96303	1	4
0.32302	1	3
0.757658	1	2
0.729942	1	3
0.972914	1	2
0.308599	1	4
0.769422	1	3
0.514675	1	4
0.589326	1	3
0.385602	1	3
0.319654	1	4
0.224311	1	2
0.343997	1	3
1.13839	1	2
1.42998	1	2
0.660394	1	4
1.19036	0	2
0.514675	1	2
0.476338	1	4
0.540414	1	3
0.796919	1	3
0.322583	1	2
0.490469	1	3
0.53205	1	3
0.390058	1	3
